Year,peak_temp,coef_var_0.30,coef_var_30.60,stratification_duration,stratification_onset_yday,stratified_period_count,stratified_avg_length,bottom_temp_at_strat,sthermo_depth_mean,schmidt_daily_annual_sum,gdd_wtr_0c,gdd_wtr_5c,gdd_wtr_10c,mean_surf_jas,max_surf_jas,mean_bot_jas,max_bot_jas,mean_surf_jan,max_surf_jan,mean_bot_jan,max_bot_jan,mean_surf_feb,max_surf_feb,mean_bot_feb,max_bot_feb,mean_surf_mar,max_surf_mar,mean_bot_mar,max_bot_mar,mean_surf_apr,max_surf_apr,mean_bot_apr,max_bot_apr,mean_surf_may,max_surf_may,mean_bot_may,max_bot_may,mean_surf_jun,max_surf_jun,mean_bot_jun,max_bot_jun,mean_surf_jul,max_surf_jul,mean_bot_jul,max_bot_jul,mean_surf_aug,max_surf_aug,mean_bot_aug,max_bot_aug,mean_surf_sep,max_surf_sep,mean_bot_sep,max_bot_sep,mean_surf_oct,max_surf_oct,mean_bot_oct,max_bot_oct,mean_surf_nov,max_surf_nov,mean_bot_nov,max_bot_nov,mean_surf_dec,max_surf_dec,mean_bot_dec,max_bot_dec,ice_duration_days,ice_on_date,ice_off_date
1980,33.33160684,0.348275891,0.240697298,18,185,15,3.133333333,22.85495487,NA,107.7848621,4390.229795,3046.02098,2058.851219,23.83022626,33.21663819,22.57605879,27.83072118,1.416957916,3.725167214,4.105462747,4.131697052,1.032944174,3.472999199,4.106759208,4.121453168,1.645935549,4.707568715,4.11560167,4.140426041,10.5070698,17.4359179,10.47700433,17.4359179,18.33509486,25.45820942,17.13796417,25.40247682,24.49236919,33.33160684,23.75615081,27.42393933,27.85330066,33.21663819,24.48635825,27.83072118,24.52294067,26.96560563,24.209192,26.96560563,18.95724449,24.40628305,18.9145117,24.40628305,9.490028549,16.10862143,9.47606248,16.10862143,3.457031852,6.35888514,3.7274877,6.35888514,1.810480618,4.220026404,4.040072219,4.070227725,NA,11/19/1980,4/2/1980
1981,35.58994842,0.235724063,0.10564353,6,198,16,2.4375,27.41264894,1.705667397,69.95964784,4451.626291,3072.031577,2009.353044,23.97922564,35.58994842,23.13699829,28.46308792,2.039779305,4.072147179,4.041002386,4.074913877,1.198326292,4.849754217,4.101042334,4.144590206,3.203858528,11.31884044,4.756714732,11.31884044,12.45662785,16.60190976,12.45662785,16.60190976,17.52268284,22.52763352,17.07949734,22.52763352,22.6988465,25.7559046,22.50862195,25.7559046,27.94515866,35.58994842,26.23970879,28.46308792,24.77830121,28.64390194,24.07380582,26.6204949,19.05538343,24.07355531,18.96282965,24.07355531,9.278496431,14.39621679,9.274147545,14.39621679,4.044827214,9.159168231,4.502885094,9.159168231,1.373742567,3.475955075,3.685419644,3.985505823,127,11/22/1981,3/26/1981
1982,32.12472831,0.35741907,0.071570789,7,208,15,3.066666667,27.45396961,1.724059818,89.16356392,4321.409836,3041.091303,2052.796161,24.18464117,32.12472831,23.3296751,29.2384123,1.192993573,2.951288928,4.075299155,4.104610872,0.590796611,1.258548008,4.113797214,4.136042205,1.286722788,4.756407481,4.194175825,4.756407481,7.736613241,13.98790784,8.109621312,13.98790784,19.25479868,22.78989386,18.87822393,22.46239046,21.9473811,31.25976454,20.93842233,23.17991387,28.25067461,32.12472831,26.87342837,29.2384123,25.55254593,32.11949669,24.49436339,29.14777835,18.56957169,23.84850913,18.4642855,23.84850913,11.71474605,17.39370173,11.71371262,17.39370173,3.200908646,9.140049265,3.84566069,9.095427017,1.802096863,4.286451713,4.044411691,4.087317692,139,11/14/1982,4/10/1982
1983,35.4422413,0.368740017,0.109981715,6,200,13,3.076923077,27.4629309,0.958476221,84.52937787,4414.990423,3133.13992,2109.283335,25.646773,35.4422413,24.57513436,29.24367982,0.599180204,1.205179608,4.081778247,4.10604493,0.021831654,1.807270787,4.159245504,4.310038502,2.018133936,5.12168597,4.253264666,5.12168597,8.904224003,15.62218468,8.623400615,15.01514348,15.66970219,18.75260226,15.56276535,18.75260226,22.60593475,28.63908262,22.40150492,28.63908262,28.65319406,35.11375079,27.16112714,29.24367982,28.70043763,35.4422413,27.12728302,28.79827003,19.38468445,29.96596119,19.26572153,28.16908859,12.26357119,20.33251248,12.25270057,20.33251248,4.136811205,10.08162117,4.36193184,10.08162117,1.074570369,2.423746039,3.435861418,3.560287185,134,11/25/1983,3/28/1983
1984,31.41857726,0.289140369,0.164175737,7,216,11,3.454545455,24.96637828,1.188065713,77.11068373,4153.692276,2923.517315,1947.818086,23.64313692,31.41857726,22.72257307,29.32347885,0.714300263,2.034027559,3.743487151,3.884037306,0.090269866,0.66348726,3.973263739,3.99448852,0.886616647,4.592083672,4.171486856,4.227875295,8.311511073,15.78168368,8.51482314,15.78168368,15.97221046,24.79574496,15.60197999,20.66480353,23.45425021,26.59930426,23.09437131,26.42235736,26.24630864,31.38583942,24.60432068,27.23939936,26.8539297,31.41857726,25.87059325,29.32347885,17.63537361,22.39314297,17.52514634,22.26175896,11.48894727,17.86539135,11.48077798,17.86539135,2.374417492,4.859556574,3.022709812,4.859556574,1.478397437,4.642164645,4.080591663,4.121914598,135,11/17/1984,4/8/1984
1985,30.44898632,0.424494849,0.100039856,5,181,13,2.615384615,22.1517161,1.189781413,58.37983006,4180.597589,2954.150434,1952.755183,22.87877244,30.44898632,22.15979275,27.13253457,0.780357192,3.172509682,4.076709287,4.093911117,0.556733313,1.877911302,4.129830142,4.142545724,0.799118032,4.750047424,4.163902784,4.198050438,11.31673388,20.38968793,11.60737542,20.38968793,19.766857,26.27760948,19.41979444,22.75344818,21.46707872,24.82860957,21.02912649,24.4401028,26.36754462,30.44898632,24.75683041,26.62285259,22.45690587,26.11536675,22.11492976,24.87072277,19.70963664,27.13253457,19.52254557,27.13253457,9.696886393,13.26262218,9.669807829,13.26262218,2.627694044,7.850750408,2.933947577,7.850750408,1.040121369,2.273165348,3.641695022,3.855613639,139,11/18/1985,4/5/1985
1986,32.61476666,0.285025233,0.154111225,7,208,16,2.3125,27.20167466,NA,72.27052044,4369.067939,3107.517009,2083.659336,23.55349346,32.61476666,22.92738016,30.6087585,0.480714014,1.649279446,3.969467284,3.991726398,0.084589823,0.951211637,4.110199399,4.162405967,1.006703753,4.485061591,4.183219627,4.232842762,9.113028497,17.01898505,9.616627169,17.01898505,19.13530445,28.15716946,18.38538614,21.4498273,24.5224643,31.07491421,23.90821423,28.07893848,28.06903825,32.61476666,26.89687781,30.6087585,24.09193351,30.31510929,23.45539624,27.04582163,18.33104247,22.04423398,18.27994932,22.04423398,12.14685526,19.31309505,12.0840792,19.31309505,3.189829975,9.415807476,4.248554702,9.415807476,2.424266985,4.507970554,4.069644381,4.079238816,140,11/12/1986,4/7/1986
1987,34.85880925,0.463826969,0.123568198,9,207,14,2.642857143,28.72493523,NA,100.4952168,4599.054311,3225.165227,2198.085346,24.29887381,34.85880925,23.4325199,30.50007127,1.437665715,3.373883368,4.0763851,4.10629166,1.312208865,2.609469683,4.093197359,4.114489083,4.377569392,9.94318676,5.508561932,9.94318676,11.93948621,18.3676962,11.8845488,18.3676962,19.61899431,23.50178688,19.55344898,23.50178688,25.59984166,33.36383117,24.20529139,26.76368596,28.40043377,34.85880925,26.6737186,30.18706092,25.12831801,33.14126584,24.5473866,30.50007127,19.20350285,22.96642937,18.93125232,21.58593722,8.18865846,16.84204497,8.180064184,16.84204497,4.389459301,10.77479996,4.677642227,10.77479996,0.852288734,2.681698887,3.893255947,4.065962009,125,11/22/1987,3/17/1987
1988,31.79251306,0.257791804,0.149815321,4,155,13,1.846153846,24.76637904,NA,40.0044445,4302.493782,3030.051568,2056.094258,23.75172319,29.6149354,23.41262639,29.55789561,1.155757549,2.708788155,4.065462881,4.071396749,0.69601638,1.687736276,4.118481401,4.19105651,0.962306793,2.294938991,4.21296166,4.253624589,8.543695349,13.10649975,8.745751225,12.0823071,18.68788543,24.32480951,18.61739154,24.32480951,25.61075294,31.79251306,24.99477073,28.56650297,26.94729625,29.55789561,26.35407799,29.55789561,25.93313852,29.6149354,25.5515752,29.05576596,18.19550186,21.12921757,18.16287929,21.12921757,9.178727268,17.84818444,9.136332038,17.84818444,2.03884234,3.527877526,2.670915063,3.981845824,2.612663912,4.283118715,4.031078665,4.076753866,135,11/19/1988,4/5/1988
1989,34.15473391,0.362044618,0.131544849,6,175,16,2.375,23.16174482,NA,69.68281724,4250.548215,2919.646199,1937.895623,23.75256554,34.15473391,23.05364628,29.19940614,1.516326637,3.547400043,4.086060853,4.099732542,1.25888867,3.499332952,4.113990478,4.135765667,0.701534547,4.82583918,4.214278709,4.313290834,8.697407148,18.49456098,9.068354024,18.49456098,16.98453455,22.74797309,16.70594453,22.74797309,22.08456025,27.55665072,21.31179221,26.15154549,27.6460074,31.21461308,26.62796528,29.19940614,25.30826393,34.15473391,24.34882685,27.89376666,18.12178726,24.061685399999998,18.02183007,24.061685399999998,10.42394035,14.20196388,10.39763748,14.20196388,3.568036284,10.49169639,3.97461686,10.49169639,2.574530978,4.070856911,4.004515182,4.022211895,142,11/17/1989,4/10/1989
1990,34.71673725,0.561819693,0.125585524,12,177,15,3.266666667,23.25995887,1.953066156,123.5606098,4416.662559,3050.381286,2060.734735,24.5715264,34.71673725,23.12836291,26.81992049,1.502093648,2.746284061,4.080991915,4.120813723,1.273152874,2.602316215,4.179807435,4.204566798,2.084022248,5.462640021,4.177710914,5.462640021,10.61065283,21.52434377,10.60682322,21.52434377,16.30577972,22.46066551,15.96102754,21.54962524,23.58715203,31.32890221,22.49900566,26.00774044,27.10559398,34.71673725,24.03014222,26.81992049,25.70070998,32.02992549,24.61962352,26.73541317,20.78616688,27.08519209,20.65555501,26.67464945,9.976109104,14.60619062,9.935336764,14.49497954,3.728771016,8.946456302,3.726475064,8.946456302,1.829547838,3.187408727,3.865741692,4.051634097,133,11/29/1990,3/30/1990
1991,30.28785997,0.266711484,0.291133372,10,223,13,2.769230769,21.05863778,NA,77.96963921,4369.868482,3113.792717,2092.836535,23.56062876,30.28785997,22.60892093,29.74957932,1.263268663,3.008232329,4.079263551,4.12162915,0.87151163,4.169652938,4.144202445,4.16350793,1.45641647,4.582018893,4.153461907,4.232184704,10.88355821,15.72979774,10.76734549,15.72979774,19.376598,27.52268032,19.06883906,25.90231737,25.96128612,29.58769735,25.44613463,29.58769735,26.66517921,30.28072261,26.01455803,29.74957932,25.05526886,30.28785997,22.99706748,27.03273229,18.80813185,26.63048787,18.68867784,26.63048787,9.964518933,13.84133838,9.959873344,13.84133838,2.116856789,5.779540486,3.814008187,5.779540486,0.476892147,1.214404357,4.097328545,4.104099718,124,11/4/1991,4/2/1991
1992,32.63080388,0.269617226,0.120569871,9,150,17,2.529411765,15.79897547,NA,92.73141899,4005.245399,2769.490172,1782.078151,21.65705401,26.84108266,21.20851176,26.84108266,0.188050894,1.125031283,4.134497217,4.174873081,-0.101855154,0.229784463,4.183086828,4.201672723,1.513896762,4.741083322,4.192287556,4.274951524,8.75973362,12.74404873,8.745304543,12.74404873,17.99857511,22.19109943,17.76595306,22.19109943,23.70577093,32.63080388,20.47624224,23.92824921,24.07235081,26.22945396,23.26857947,25.59006866,23.02537444,26.84108266,22.49798813,26.84108266,17.74731622,22.35316054,17.74731622,22.35316054,10.00057818,14.97265809,10.00057818,14.97265809,2.275074731,5.625011006,2.281302578,5.625011006,1.485926689,3.183185886,3.932576596,4.059032226,150,11/26/1992,4/2/1992
1993,30.4030672,0.392233491,0.111727158,12,223,14,2.428571429,23.85242314,NA,54.18320171,3922.204575,2701.832629,1739.517602,22.50974485,30.4030672,21.78926964,26.98362301,1.166110232,3.523637297,4.089933256,4.11597847,0.360210484,4.201600387,4.119296666,4.129966307,0.950328413,4.708375105,4.124257797,4.133782859,7.216193843,15.24792713,7.691015428,15.24792713,17.14423131,21.30426931,16.91373004,21.30426931,21.17177904,24.71392142,20.72015497,24.71392142,25.18658678,28.73067071,24.59282547,26.42056298,25.73464486,30.4030672,24.32924118,26.98362301,16.41127816,22.48740765,16.2676247,22.48740765,9.427527998,13.86799415,9.362997289,13.86799415,1.920619064,3.21291985,2.878789753,4.060548316,1.269133724,4.10490975,4.087753993,4.105912831,135,11/8/1993,4/10/1993
1994,32.41047506,0.298452492,0.123668515,7,196,15,2.666666667,24.3102086,NA,79.33981266,4326.523702,3055.790116,2038.890628,23.3110977,32.41047506,22.28805779,26.09049208,1.103905072,2.740681382,4.119574178,4.126545866,0.533929047,1.470279479,4.142666262,4.172873896,0.733747711,1.866453661,4.206324519,4.273963422,9.140940047,18.55454691,9.325863139,18.55454691,17.79094681,22.59980244,17.65462501,22.59980244,24.81317569,29.43840958,24.08778985,28.32485952,26.07483494,32.41047506,24.22113094,25.82928609,23.80083471,26.76515676,22.86831142,26.09049208,19.94917432,25.08988628,19.69095347,25.08988628,12.11670202,15.80988341,12.10269512,15.80988341,4.387625048,7.503215174,4.670966013,7.503215174,1.006283045,2.773952825,3.9344583380000002,4.024676347,152,11/24/1994,4/9/1994
1995,33.62843062,0.398995781,0.128450501,20,190,19,2.684210526,22.07074115,1.83656574,117.8023974,4287.851193,2999.395792,2037.15137,24.52014385,33.62843062,23.17391127,29.63554044,0.933548609,2.884835397,4.087479544,4.151385561,0.979272748,2.882507277,4.151209105,4.178260016,1.35026927,4.671218633,4.213290468,4.491550067,7.914876474,12.04658814,7.910922153,12.04658814,16.11494267,18.50624145,15.83601493,17.8282783,24.53474537,29.46882167,23.70945027,28.01292998,27.22535462,33.62843062,24.11972148,27.35123298,27.43566153,30.39914319,26.83757236,29.63554044,18.71205779,26.35470275,18.41079093,26.12906358,10.87746398,17.36058188,10.84947065,17.36058188,2.755876619,5.313559387,3.806985151,5.313559387,1.308679316,4.057045735,4.05769202,4.071524359,126,11/5/1995,3/30/1995
1996,31.59634948,0.261380146,0.224135187,16,162,10,4.1,19.6026242,1.657240196,109.5882056,4008.89679,2855.743908,1890.832443,23.43217464,28.91042858,22.8636678,27.9869683,0.764400577,2.842117351,4.078072759,4.093721113,0.448619216,1.250561389,4.105591922,4.130912769,0.692949336,2.410358539,4.220398869,4.298506785,6.485705123,12.52901684,7.254002099,12.52901684,15.6949241,23.72487142,15.63946317,23.72487142,23.78836923,31.59634948,20.287532,27.56798134,25.91817243,28.91042858,24.97677672,27.9869683,25.17594279,27.05255132,24.50505522,26.97268537,19.0614165,24.74470807,18.98402156,24.74470807,10.97117814,15.13055445,10.9692153,15.13055445,1.486305471,4.310384019,2.759779529,4.310384019,0.422498107,1.079782141,3.466289956,3.531808347,161,11/12/1996,4/14/1996
